name,categoryKey
Banan,produce
Eple,produce
Pære,produce
Appelsin,produce
Mandarin,produce
Sitron,produce
Lime,produce
Druer,produce
Jordbær,produce
Blåbær,produce
Bringebær,produce
Avokado,produce
Agurk,produce
Tomat,produce
Cherrytomat,produce
Paprika,produce
Gulrot,produce
Løk,produce
Rødløk,produce
Potet,produce
Søtpotet,produce
Brokkoli,produce
Blomkål,produce
Salat,produce
Spinat,produce
Kål,produce
Purreløk,produce
Hvitløk,produce
Ingefær,produce
Chili,produce
Mais,produce
Sopp,produce
Asparges,produce
Aubergine,produce
Squash,produce
Kyllingfilet,meat-fish
Kyllinglår,meat-fish
Kjøttdeig,meat-fish
Karbonadedeig,meat-fish
Svinekjøtt,meat-fish
Biff,meat-fish
Lammekjøtt,meat-fish
Pølser,meat-fish
Bacon,meat-fish
Kjøttpålegg,meat-fish
Salami,meat-fish
Skinke,meat-fish
Leverpostei,meat-fish
Laksefilet,meat-fish
Torsk,meat-fish
Sei,meat-fish
Tunfisk,meat-fish
Makrell i tomat,meat-fish
Reker,meat-fish
Krabbe,meat-fish
Fiskekaker,meat-fish
Farse,meat-fish
Melk,dairy
Lettmelk,dairy
Helmelk,dairy
Yoghurt,dairy
Gresk yoghurt,dairy
Smør,dairy
Margarin,dairy
Ost,dairy
Brunost,dairy
Mozzarella,dairy
Parmesan,dairy
Rømme,dairy
Crème fraîche,dairy
Kremfløte,dairy
Matfløte,dairy
Egg,dairy
Kesam,dairy
Cottage cheese,dairy
Kefir,dairy
Ris,pantry
Basmatiris,pantry
Pasta,pantry
Spaghetti,pantry
Nudler,pantry
Havregryn,pantry
Mel,pantry
Sukker,pantry
Brunt sukker,pantry
Salt,pantry
Pepper,pantry
Paprikakrydder,pantry
Kanel,pantry
Karri,pantry
Olivenolje,pantry
Rapsolje,pantry
Eddik,pantry
Soyasaus,pantry
Ketchup,pantry
Sennep,pantry
Majones,pantry
Tacosaus,pantry
Hermetiske tomater,pantry
Kokosmelk,pantry
Bønner,pantry
Linser,pantry
Kikerter,pantry
Syltetøy,pantry
Honning,pantry
Peanøttsmør,pantry
Kaffe,pantry
Te,pantry
Knekkebrød,pantry
Cornflakes,pantry
Müsli,pantry
Rosiner,pantry
Sjokolade,pantry
Potetgull,pantry
Kjeks,pantry
Nøtter,pantry
Frossenpizza,frozen
Iskrem,frozen
Frosne grønnsaker,frozen
Frosne bær,frozen
Pommes frites,frozen
Fiskepinner,frozen
Frossen laks,frozen
Frossen kylling,frozen
Vårruller,frozen
Lasagne,frozen
Brød,bakery-bread
Grovt brød,bakery-bread
Loff,bakery-bread
Rundstykker,bakery-bread
Croissant,bakery-bread
Boller,bakery-bread
Kanelsnurr,bakery-bread
Pitabrød,bakery-bread
Nanbrød,bakery-bread
Tortillalefser,bakery-bread
Hamburgerbrød,bakery-bread
Pølsebrød,bakery-bread
Mineralvann,drinks
Cola,drinks
Brus,drinks
Juice,drinks
Eplemost,drinks
Appelsinjuice,drinks
Iste,drinks
Energidrikk,drinks
Farris,drinks
Kullsyrevann,drinks
Saft,drinks
Kakao,drinks
Toalettpapir,household
Tørkepapir,household
Oppvaskmiddel,household
Vaskemiddel,household
Skyllemiddel,household
Såpe,household
Håndsåpe,household
Shampoo,household
Balsam,household
Tannkrem,household
Tannbørste,household
Søppelposer,household
Batterier,household
Aluminiumsfolie,household
Bakepapir,household
Plastfolie,household
Zalo,household
Kjøkkenspray,household
Vaskesvamp,household
Servietter,household
Stearinlys,household
Bleier,other
Babygrøt,other
Barnemat,other
Våtservietter,other
Hundemat,other
Kattemat,other
Kattesand,other
Blomster,other
Vitaminbjørner,other
Tyggis,other
